,question,options,answer,reply_open
0,"A 21-year-old sexually active male complains of fever, pain during urination, and inflammation and pain in the right knee. A culture of the joint fluid shows a bacteria that does not ferment maltose and has no polysaccharide capsule. The physician orders antibiotic therapy for the patient. The mechanism of action of action of the medication given blocks cell wall synthesis, which of the following was given?","{'A': 'Gentamicin', 'B': 'Ciprofloxacin', 'C': 'Ceftriaxone', 'D': 'Trimethoprim'}",Ceftriaxone,Penicillin.
1,"A 5-year-old girl is brought to the emergency department by her mother because of multiple episodes of nausea and vomiting that last about 2 hours. During this period, she has had 6–8 episodes of bilious vomiting and abdominal pain. The vomiting was preceded by fatigue. The girl feels well between these episodes. She has missed several days of school and has been hospitalized 2 times during the past 6 months for dehydration due to similar episodes of vomiting and nausea. The patient has lived with her mother since her parents divorced 8 months ago. Her immunizations are up-to-date. She is at the 60th percentile for height and 30th percentile for weight. She appears emaciated. Her temperature is 36.8°C (98.8°F), pulse is 99/min, and blood pressure is 82/52 mm Hg. Examination shows dry mucous membranes. The lungs are clear to auscultation. Abdominal examination shows a soft abdomen with mild diffuse tenderness with no guarding or rebound. The remainder of the physical examination shows no abnormalities. Which of the following is the most likely diagnosis?","{'A': 'Cyclic vomiting syndrome', 'B': 'Gastroenteritis', 'C': 'Hypertrophic pyloric stenosis', 'D': 'Gastroesophageal reflux disease'}",Cyclic vomiting syndrome,Cyclic vomiting syndrome.
2,"A 40-year-old woman presents with difficulty falling asleep, diminished appetite, and tiredness for the past 6 weeks. She says that, despite going to bed early at night, she is unable to fall asleep. She denies feeling anxious or having disturbing thoughts while in bed. Even when she manages to fall asleep, she wakes up early in the morning and is unable to fall back asleep. She says she has grown increasingly irritable and feels increasingly hopeless, and her concentration and interest at work have diminished. The patient denies thoughts of suicide or death. Because of her diminished appetite, she has lost 4 kg (8.8 lb) in the last few weeks and has started drinking a glass of wine every night instead of eating dinner. She has no significant past medical history and is not on any medications. Which of the following is the best course of treatment in this patient?","{'A': 'Diazepam', 'B': 'Paroxetine', 'C': 'Zolpidem', 'D': 'Trazodone'}",Trazodone,Depression screening.
3,"A 37-year-old female with a history of type II diabetes mellitus presents to the emergency department complaining of blood in her urine, left-sided flank pain, nausea, and fever. She also states that she has pain with urination. Vital signs include: temperature is 102 deg F (39.4 deg C), blood pressure is 114/82 mmHg, pulse is 96/min, respirations are 18, and oxygen saturation of 97% on room air. On physical examination, the patient appears uncomfortable and has tenderness on the left flank and left costovertebral angle. Which of the following is the next best step in management?","{'A': 'Obtain an abdominal CT scan', 'B': 'Obtain a urine analysis and urine culture', 'C': 'Begin intravenous treatment with ceftazidime', 'D': 'No treatment is necessary'}",Obtain a urine analysis and urine culture,Obtain a urine culture.
4,"A 19-year-old boy presents with confusion and the inability to speak properly. The patient's mother says that, a few hours ago, she noticed a change in the way he talked and that he appeared to be in a daze. He then lost consciousness, and she managed to get him to the hospital. She is also concerned about the weight he has lost over the past few months. His blood pressure is 80/55 mm Hg, pulse is 115/min, temperature is 37.2°C (98.9°F), and respiratory rate is 18/min. On physical examination, the patient is taking rapid, deep breaths, and his breath has a fruity odor. Dry mucous membranes and dry skin are noticeable. He is unable to cooperate for a mental status examination. Results of his arterial blood gas analysis are shown.
Pco2 16 mm Hg
HCO3–  10 mEq/L
Po2 91 mm Hg
pH 7.1
His glucose level is 450 mg/dL, and his potassium level is 4.1 mEq/L. Which of the following should be treated first in this patient?","{'A': 'Hypoperfusion', 'B': 'Hyperglycemia', 'C': 'Metabolic acidosis', 'D': 'Hypokalemia'}",Hypoperfusion,Hyperglycemia.
5,"A 41-year-old woman presents to her primary care physician with complaints of fatigue and weakness. She denies any personal history of blood clots or bleeding problems in her past, but she says that her mother has had to be treated for breast cancer recently and is starting to wear her down. Her past medical history is significant for preeclampsia, hypertension, polycystic ovarian syndrome, and hypercholesterolemia. She currently smokes 1 pack of cigarettes per day, drinks a glass of wine per day, and currently denies any illicit drug use. Her vital signs include: temperature, 36.7°C (98.0°F); blood pressure, 126/74 mm Hg; heart rate, 111/min; and respiratory, rate 23/min. On physical examination, her pulses are bounding and irregular, complexion is pale, but breath sounds remain clear. On examination, the physician finds diffuse skin pallor and orders a complete blood count. Her laboratory data demonstrate a hematocrit of 27.1%, MCV of 79 fL, and a reticulocyte count of 2.0%. The patient is diagnosed with anemia. Which of the following represents the most likely etiology of her anemia.","{'A': 'Vitamin B12 deficiency', 'B': 'Folate deficiency', 'C': 'Iron deficiency', 'D': 'Intravascular hemolysis'}",Iron deficiency,Iron deficiency.
6,A 59-year-old woman with stage IV lung cancer comes to the physician because of progressively worsening weakness in the past 3 months. She has had a 10.5-kg (23-lb) weight loss during this period. Her BMI is 16 kg/m2. She appears thin and has bilateral temporal wasting. Which of the following is the most likely primary mechanism underlying this woman's temporal muscle atrophy?,"{'A': 'Cytochrome c-mediated activation of proteases', 'B': 'Lipase-mediated degradation of triglycerides', 'C': 'TNF-α-mediated activation of caspases', 'D': 'Proteasomal degradation of ubiquitinated proteins'}",Proteasomal degradation of ubiquitinated proteins,Malnutrition.
7,"A 67-year-old man presents to the emergency department with a fever and altered mental status. The patient has a history of Alzheimer dementia and is typically bed bound. His son found him confused with a warm and flushed complexion thus prompting his presentation. The patient has a past medical history of dementia, diabetes, and hypertension and typically has a visiting home nurse come to administer medications. Prior to examination, he is given haloperidol and diphenhydramine as he is combative and will not allow the nurses near him. His temperature is 102.9°F (39.4°C), blood pressure is 104/64 mmHg, pulse is 170/min, respirations are 22/min, and oxygen saturation is 100% on room air. Physical exam is notable for dry and flushed skin and a confused man. There is no skin breakdown, and flexion of the patient’s neck elicits no discomfort. Laboratory studies are drawn as seen below.

Hemoglobin: 15 g/dL
Hematocrit: 45%
Leukocyte count: 4,500/mm^3 with normal differential
Platelet count: 227,000/mm^3

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 4.3 mEq/L
HCO3-: 24 mEq/L
BUN: 30 mg/dL
Glucose: 97 mg/dL
Creatinine: 1.5 mg/dL
Ca2+: 10.2 mg/dL
AST: 12 U/L
ALT: 10 U/L

Urine:
Color: Yellow
Bacteria: Absent
Nitrites: Negative
Red blood cells: Negative

An initial chest radiograph is unremarkable. The patient is given 3 liters of Ringer's lactate and an electric fan to cool off. Two hours later, his temperature is 99°F (37.2°C), blood pressure is 154/94 mmHg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 100% on room air. The patient’s mental status is at the patient’s baseline according to the son. Which of the following is the most likely diagnosis?","{'A': 'Exertional heat stroke', 'B': 'Neuroleptic malignant syndrome', 'C': 'Non-exertional heat stroke', 'D': 'Septic shock'}",Non-exertional heat stroke,Sepsis.
8,"A 32-year-old man presents to a mission hospital in Cambodia because he has had difficulty walking from his village to the market. He says that he has always been healthy other than occasional infections; however, over the last year he has been having numbness in his hands and feet. Furthermore, he has noticed weakness, muscle wasting, and pain in his lower extremities. The only change he can remember is that after having a poor harvest last year, he and his family have been subsisting on white rice. Physical exam reveals normal skin color and decreased deep tendon reflexes. The most likely cause of this patient's symptoms is associated with which of the following enzymatic reactions?","{'A': 'Alpha-ketoglutarate dehydrogenase', 'B': 'Acyl transferases', 'C': 'Glycogen phosphorylase', 'D': 'Homocysteine methyltransferase'}",Alpha-ketoglutarate dehydrogenase,Not applicable.
9,"A 60-year-old woman presents to her primary care physician for a wellness checkup. She has a past medical history of hypertension and was discharged from the hospital yesterday after management of a myocardial infarction. She states that sometimes she experiences exertional angina. Her temperature is 99.5°F (37.5°C), blood pressure is 147/98 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is within normal limits. Which of the following is the best next step in management?","{'A': 'Atenolol', 'B': 'Furosemide', 'C': 'Hydrochlorothiazide', 'D': 'Nitroglycerin'}",Atenolol,Refer to cardiologist.
10,"A 42-year-old male presents to his primary care physician complaining of abdominal pain. He reports a 5-month history of epigastric pain that improves with meals. He has lost 15 pounds since the pain started. His past medical history is significant for a prolactinoma for which he underwent transphenoidal resection. He drinks alcohol socially and has a 10 pack-year smoking history. His family history is notable for a maternal uncle with a parathyroid adenoma. His temperature is 98.8°F (37.1°C), blood pressure is 125/80 mmHg, pulse is 85/min, and respirations are 18/min. After further workup, the patient is started on octreotide, an analogue of an endogenously produced hormone. When this hormone is produced by the hypothalamus, it has which of the following effects?","{'A': 'Decrease production of growth hormone', 'B': 'Decrease production of prolactin', 'C': 'Decrease production of gastrin', 'D': 'Decrease production of thyrotropin-releasing hormone'}",Decrease production of growth hormone,Inhibits growth hormone.
11,"A 28-year-old female reports that, for more days than not over the past 3 years, she has felt ""down"" and, at times, ""mildly depressed."" Over this period, she also endorses feeling fatigued, difficulty concentrating, and often sleeping more than in the past. The patient denies any manic or hypomanic periods and also reports that she did not have any periods of extreme worsening of her depressed mood beyond that described above. She also denies any suicidal ideation. What is the minimum amount of time this patient must exhibit these symptoms in order to meet the diagnostic criteria for dysthymia?","{'A': '2 months', 'B': '6 months', 'C': '2 years', 'D': '5 years'}",2 years,2 years.
12,"A 42-year-old man is being treated by his female family medicine physician for chronic depression. Recently, he has been scheduling more frequent office visits. He does not report any symptoms or problems with his SSRI medication during these visits. Upon further questioning, the patient confesses that he is attracted to her and says ""You are the only one in the world who understands me"". The physician also manages his hypertension. Which of the following is the most appropriate next step in management?","{'A': 'Re-evaluate this patient for borderline personality disorder', 'B': 'Ask closed-ended questions and use a chaperone for future visits', 'C': 'Immediately tell this patient that you can not continue to treat him and avoid any further communication', 'D': 'Increase the dosage of this patient’s SSRI'}",Ask closed-ended questions and use a chaperone for future visits,Refer to colleague.
13,"A 51-year-old female presents with intermittent right upper quadrant discomfort. The physician suspects she is suffering from biliary colic and recommends surgery. Following surgery, brown stones are removed from the gallbladder specimen. What is the most likely cause of the gallstone coloring?","{'A': 'E. coli infection; beta-glucoronidase release', 'B': 'Shigella infection; HMG-CoA reductase release', 'C': 'Shigella infection; beta-glucoronidase release', 'D': 'Bile supersaturated with cholesterol; beta-glucoronidase release'}",E. coli infection; beta-glucoronidase release,Bilirubin metabolism.
14,"A 56-year-old man with known coronary artery disease presents to the emergency department complaining of chest discomfort and palpitations for 2 hours. On arrival, the vital signs include blood pressure 122/76 mm Hg, heart rate 180/min, respiratory rate 22/min, temperature 37.0℃ (98.6℉), and blood oxygen saturation (SpO2) 98% on room air. A 12-lead electrocardiogram demonstrated ST-segment elevation in the anterolateral leads. The troponin level was 0.8 ng/mL (normal 0–0.4 ng/mL). The patient declined primary percutaneous intervention and was treated with antifibrinolytics in the coronary care unit. After 1 hour of treatment, the patient loses consciousness and the blood pressure falls to 60/40 mm Hg. Cardiac monitoring shows the electrocardiogram (ECG) pattern in lead 2 shown below. What is the most likely cause of his condition?","{'A': 'Monomorphic ventricular tachycardia', 'B': 'Mitral regurgitation', 'C': 'Third-degree heart block', 'D': 'Acute pericarditis'}",Monomorphic ventricular tachycardia,Ventricular fibrillation.
15,"A 16-year-old female high school student is brought to the physician by her parents for her repeated behavioral problems at home and school during the past 10 months. Her teachers describe her behavior as uncooperative and disruptive as she persistently refuses to answer questions, insults her teachers, and annoys her classmates on a daily basis. At home, her parents try to address her frequent violations of curfew, but attempts at discussing the issue often result in their daughter losing her temper and screaming at her parents. Her grades have deteriorated over the past year. She has no history of psychiatric illness. On questioning, the patient refuses to answer and frequently disrupts the physician’s conversation with the parents. Which of the following is the most likely diagnosis in this patient?","{'A': 'Reactive attachment disorder', 'B': 'Conduct disorder', 'C': 'Antisocial personality disorder', 'D': 'Oppositional defiant disorder'}",Oppositional defiant disorder,Disruptive mood dysregulation disorder.
16,"A 22-year-old man is brought to the emergency room with a penetrating stab injury to his left chest. He appears pale, drowsy, and diaphoretic. His pulse is feeble, systolic blood pressure is 86 mm Hg, the respirations are 22/min with an oxygen saturation of 88% at room air, and the temperature is 36.6°C (98.0°F). His jugular vein is distended. Chest auscultation reveals equal breath sounds bilaterally, with muffled heart sounds. Immediate IV fluid resuscitation is initiated. Which of the following findings indicates that the cause of shock is cardiogenic?","{'A': 'Elevated serum creatinine', 'B': 'High central venous pressure (CPV)', 'C': 'Arterial blood gas (ABG) showing base deficit and metabolic acidosis', 'D': 'White blood cell (WBC) count < 4000/mm3'}",High central venous pressure (CPV),Muffled heart sounds.
17,"A 56-year-old woman is brought to the physician by her husband because of a two-day history of fever, malaise, headaches, and confusion. She recently immigrated from rural China and her immunization status is unknown. Her temperature is 39.1°C (102.4°F). Physical examination shows nuchal rigidity and photophobia. Cerebrospinal fluid analysis shows a neutrophil count of 1,500/mm3. Cerebrospinal fluid cultured on Thayer-Martin agar and normal sheep blood agar shows no growth. However, when the sheep blood agar sample is heated, numerous non-hemolytic, opaque, cream-colored colonies grow. Which of the following characteristics best describes the most likely causal pathogen?","{'A': 'Gram-negative coccobacillus', 'B': 'Gram-positive, lancet-shaped diplococcus', 'C': 'Gram-negative diplococcus', 'D': 'Gram-positive, facultative intracellular bacillus'}",Gram-negative coccobacillus,Gram-negative diplococci.
18,"A 35-year-old male presents to his primary care physician complaining of a one-month history of progressively worsening fatigue. He sought medical attention because this has affected his ability to complete his work as a graduate student. As a child, he was hospitalized for hemolytic uremic syndrome. His past medical history is also notable for diabetes mellitus and obesity. He takes metformin and glyburide. He does not smoke and drinks alcohol occasionally. His family history is notable for chronic lymphocytic leukemia in his paternal uncle and stroke in his father. His temperature is 99.9°F (37.7°C), blood pressure is 100/70 mmHg, pulse is 110/min, and respirations are 18/min. Physical examination reveals diffuse pallor. Hematologic labs are shown below:

Hemoglobin: 8.9 g/dL
Hematocrit: 24%
Leukocyte count: 7,500 cells/mm^3 with normal differential
Platelet count: 180,000/mm^3
Mean corpuscular volume: 85 µm^3
Reticulocyte count: 0.4%

Head and neck imaging is negative for neck masses. The pathogen associated with this patient’s condition is also known to cause which of the following?","{'A': 'Kaposi’s sarcoma', 'B': 'Erythema infectiosum', 'C': 'Mononucleosis', 'D': 'Croup'}",Erythema infectiosum,Hemolytic uremic syndrome.
